cell_type,group1,group2,n1,n2,p,p.adj.global,p.adj.global.signif,effsize,magnitude
B cell,SHH,Group3,84,68,1.94e-10,6.847058823529412e-10,****,0.5165093624331557,large
B cell,WNT,Group3,24,68,4.9e-4,8.399999999999999e-4,***,0.3639076534399977,moderate
B cell,Group3,Group4,68,102,4.27e-6,1.0674999999999999e-5,****,0.3527380912728062,moderate
B cell,SHH,Group4,84,102,2.2e-6,5.9739130434782616e-6,****,0.34725399209051067,moderate
B cell,WNT,SHH,24,84,0.02,0.03,*,0.22470433582918606,small
B cell,WNT,Group4,24,102,0.267,0.31411764705882356,ns,0.09907197351494135,small
Macrophage M1,SHH,Group4,84,102,8.52e-5,1.549090909090909e-4,***,0.2883031229667324,small
Macrophage M1,SHH,Group3,84,68,0.002,0.0033333333333333335,**,0.2501416282736212,small
Macrophage M1,WNT,SHH,24,84,0.083,0.11066666666666666,ns,0.16714563925091602,small
Macrophage M1,WNT,Group4,24,102,0.533,0.5814545454545454,ns,0.05658577178290063,small
Macrophage M1,WNT,Group3,24,68,0.762,0.8017241379310346,ns,0.033140804473207004,small
Macrophage M1,Group3,Group4,68,102,0.694,0.7435714285714285,ns,0.030660961841587786,small
Macrophage M2,WNT,Group3,24,68,7.23e-16,3.943636363636363e-15,****,0.8415585389058947,large
Macrophage M2,WNT,Group4,24,102,6.93e-17,4.78e-16,****,0.7440425367326526,large
Macrophage M2,SHH,Group3,84,68,1.12e-13,4.8e-13,****,0.6025242454993859,large
Macrophage M2,SHH,Group4,84,102,3.78e-15,1.89e-14,****,0.5765707266492583,large
Macrophage M2,WNT,SHH,24,84,6.81e-5,1.3180645161290323e-4,***,0.38360310497848654,moderate
Macrophage M2,Group3,Group4,68,102,0.053,0.07395348837209302,ns,0.14843233792366692,small
Monocyte,WNT,Group3,24,68,9.46e-13,3.784e-12,****,0.744675528766359,large
Monocyte,SHH,Group3,84,68,2.54e-19,5.08e-18,****,0.7291048236709173,large
Monocyte,Group3,Group4,68,102,1.96e-17,1.96e-16,****,0.6517637008187737,large
Monocyte,WNT,Group4,24,102,3.32e-7,9.96e-7,****,0.4550065135129468,moderate
Monocyte,WNT,SHH,24,84,8.31e-6,1.9176923076923076e-5,****,0.42925031990262486,moderate
Monocyte,SHH,Group4,84,102,0.073,0.09954545454545453,ns,0.13173986722899542,small
Myeloid dendritic cell,WNT,Group3,24,68,1.15e-12,4.3125e-12,****,0.7419315780045566,large
Myeloid dendritic cell,SHH,Group3,84,68,5.26e-16,3.156e-15,****,0.657589344589224,large
Myeloid dendritic cell,Group3,Group4,68,102,6.2e-17,4.78e-16,****,0.641417672466852,large
Myeloid dendritic cell,WNT,SHH,24,84,2.29e-6,5.9739130434782616e-6,****,0.45511473283688103,moderate
Myeloid dendritic cell,WNT,Group4,24,102,1.04e-5,2.3111111111111112e-5,****,0.393000055050435,moderate
Myeloid dendritic cell,SHH,Group4,84,102,0.111,0.1417021276595745,ns,0.11710417956158467,small
NK cell,SHH,Group4,84,102,1.74e-26,1.044e-24,****,0.7809917573653266,large
NK cell,Group3,Group4,68,102,7.71e-15,3.5584615384615376e-14,****,0.5962312935211599,large
NK cell,WNT,Group4,24,102,2.09e-7,6.6e-7,****,0.4627048595446422,moderate
NK cell,SHH,Group3,84,68,0.003,0.0048648648648648655,**,0.23954512429878322,small
NK cell,WNT,SHH,24,84,0.086,0.11217391304347825,ns,0.16568231474506825,small
NK cell,WNT,Group3,24,68,0.531,0.5814545454545454,ns,0.06581933749469676,small
Neutrophil,SHH,Group3,84,68,0.01,0.015384615384615385,*,0.20986753439003708,small
Neutrophil,Group3,Group4,68,102,0.007,0.01105263157894737,*,0.20727393825186718,small
Neutrophil,WNT,SHH,24,84,0.255,0.306,ns,0.11012835957362291,small
Neutrophil,WNT,Group4,24,102,0.226,0.276734693877551,ns,0.10824887579679993,small
Neutrophil,WNT,Group3,24,68,0.439,0.4969811320754717,ns,0.08256894633282691,small
Neutrophil,SHH,Group4,84,102,0.848,0.8623728813559322,ns,0.014216181245843024,small
T cell CD4+ (non-regulatory),WNT,SHH,24,84,9.89e-5,1.745294117647059e-4,***,0.3749929596179038,moderate
T cell CD4+ (non-regulatory),SHH,Group4,84,102,4.74e-6,1.1376000000000001e-5,****,0.3356250944086123,moderate
T cell CD4+ (non-regulatory),SHH,Group3,84,68,5.31e-5,1.062e-4,***,0.32795504472266646,moderate
T cell CD4+ (non-regulatory),WNT,Group3,24,68,0.022,0.03219512195121951,*,0.23840942181011618,small
T cell CD4+ (non-regulatory),WNT,Group4,24,102,0.041,0.05857142857142857,ns,0.18196046828845622,small
T cell CD4+ (non-regulatory),Group3,Group4,68,102,0.775,0.8017241379310346,ns,0.022000199183559714,small
T cell CD8+,SHH,Group3,84,68,1.71e-22,5.1300000000000004e-21,****,0.79160809778635,large
T cell CD8+,WNT,Group3,24,68,2.2e-9,7.333333333333333e-9,****,0.6241373794617339,large
T cell CD8+,SHH,Group4,84,102,7.17e-17,4.78e-16,****,0.6119422475545658,large
T cell CD8+,WNT,Group4,24,102,1.6e-6,4.571428571428571e-6,****,0.4277403939428194,moderate
T cell CD8+,Group3,Group4,68,102,0.144,0.18,ns,0.11215520522607363,small
T cell CD8+,WNT,SHH,24,84,0.298,0.3438461538461538,ns,0.10100843521694763,small
T cell regulatory (Tregs),SHH,Group3,84,68,6.3e-19,7.632e-18,****,0.7209584467290062,large
T cell regulatory (Tregs),Group3,Group4,68,102,6.36e-19,7.632e-18,****,0.6816181373160279,large
T cell regulatory (Tregs),WNT,Group3,24,68,3.47e-5,7.179310344827587e-5,****,0.4321653319321558,moderate
T cell regulatory (Tregs),WNT,SHH,24,84,2.98e-5,6.385714285714286e-5,****,0.4021105928341964,moderate
T cell regulatory (Tregs),WNT,Group4,24,102,8.48e-5,1.549090909090909e-4,***,0.3504303322755778,moderate
T cell regulatory (Tregs),SHH,Group4,84,102,0.894,0.894,ns,0.009835198203187855,small
